Sample,Total,e-Î¼ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j,CR Tau 0j,CR Tau 1j,CR Tau 2j
Data,62385800,320498,44262,15240,15248,13774,12023,10884,1521,2218,16788,6962,8,36,2
ggH_HWW,2946000,205798,132618,79133,35900,17585,72315,27791,1992,945,350,47,12,59,7
WW,2900000,292077,179239,108178,50348,20713,95145,42832,3083,2693,1778,248,4,17,1
Top_antitop,137367000,5550952,499077,60213,163545,275319,50939,137194,30243,42840,472100,233418,9,56,15
DY_to_Tau_Tau,82448537,77686,6434,1348,3379,1707,463,1408,104,64,207,15,4,39,1
Fakes,225680227,162608,9439,800,1626,7013,605,1203,764,336,5982,6651,1,0,0
ggWW,17662000,2694127,1960399,1180407,585732,194260,1091464,519083,27770,31607,19057,2138,48,166,8
Diboson,15551954,29207,14369,3035,4395,6939,2476,2771,446,150,201,57,1,15,2
VG,34915878,61491,16192,5631,7154,3407,3726,3584,281,166,283,34,13,52,2
TOTAL (MC),519471596,9073946,2817767,1438745,852079,526943,1317133,735866,64683,78801,499958,242608,92,404,36
