Sample,Total (Raw),e-Î¼ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800.00,320498.00,44262.00,15240.00,15248.00,13774.00,12023.00,10884.00,1521.00,2218.00,16788.00,6962.00
ggH_HWW,15436.57,1054.98,679.11,405.73,183.56,89.82,370.58,142.04,10.18,4.86,1.79,0.24
WW,182245.80,17941.05,11011.40,6642.00,3094.68,1274.71,5837.40,2631.39,189.62,166.79,108.73,15.22
Top_antitop,3480598.89,176782.09,17454.82,2558.70,6046.73,8849.39,2182.24,5081.78,1001.32,1537.04,16199.82,7239.56
DY_to_Tau_Tau,90168168.35,83604.27,6930.77,1468.52,3630.83,1831.42,506.13,1510.89,111.54,69.64,221.56,16.20
Fakes,926210036.68,29008.87,9497.31,6821.83,1910.68,764.80,5134.72,1425.01,108.35,503.69,396.60,257.79
ggWW,8836.93,1313.42,955.39,575.11,285.49,94.80,531.57,252.90,13.55,15.51,9.30,1.04
Diboson,397290.09,1167.75,642.55,228.33,238.31,175.91,189.66,174.82,17.31,11.29,10.77,2.53
VG,8029875.81,7656.66,2142.21,1008.64,724.10,409.47,797.68,453.94,41.05,36.48,29.05,2.14
TOTAL (MC),1028492489.12,318529.09,49313.56,19708.86,16114.37,13490.33,15549.98,11672.78,1492.90,2345.30,16977.62,7534.72
